cord_uid,doi,sha,pdf_json_files,pmc_json_files,title,trigger_terms,appositive_phrases
f4v5vpxt,10.1007/s12519-020-00366-0,30f9f8dd4536eea9368e9214f216cf40917eddb5,document_parses/pdf_json/30f9f8dd4536eea9368e9214f216cf40917eddb5.json,,Continuous positive airway pressure in children with severe pneumonia: a meta-analysis,meta-analysis,Continuous positive airway pressure in children with severe pneumonia: a meta-analysis
fyrbe8tw,10.1093/infdis/jiz152,98588a62f2fe1124d92ec78a961ea1eaa9e44929,document_parses/pdf_json/98588a62f2fe1124d92ec78a961ea1eaa9e44929.json,document_parses/pmc_json/PMC7313925.xml.json,Neuraminidase Inhibitors and Hospital Length of Stay: A Meta-analysis of Individual Participant Data to Determine Treatment Effectiveness Among Patients Hospitalized With Nonfatal 2009 Pandemic Influenza A(H1N1) Virus Infection,Meta-analysis,Neuraminidase Inhibitors and Hospital Length of Stay: A Meta-analysis
p3mb7r0v,10.1186/s13643-020-01401-x,3597f1835f9887c8eb25073c63b70d14934e2a7d,document_parses/pdf_json/3597f1835f9887c8eb25073c63b70d14934e2a7d.json,document_parses/pmc_json/PMC7477831.xml.json,Predicting the treatment response of certolizumab for individual adult patients with rheumatoid arthritis: protocol for an individual participant data meta-analysis,individual participant data meta-analysis; meta-analysis,for an individual participant data meta-analysis
y75rxurg,10.7554/elife.56829,ac2079902c983ef223e694b6752d745635689e9b,document_parses/pdf_json/ac2079902c983ef223e694b6752d745635689e9b.json,document_parses/pmc_json/PMC7535929.xml.json,"BiteOscope, an open platform to study mosquito biting behavior",platform,"BiteOscope, an open platform"
tp3nrbab,10.1038/s41386-020-0730-z,a2efac772aa17974c58bcd3c620c53db60294ac9; 186a8a9ccd17b3b97d084f896cf06cc49cf8bcb0,document_parses/pdf_json/a2efac772aa17974c58bcd3c620c53db60294ac9.json; document_parses/pdf_json/186a8a9ccd17b3b97d084f896cf06cc49cf8bcb0.json,document_parses/pmc_json/PMC7608351.xml.json,Opioid antagonists are associated with a reduction in the symptoms of schizophrenia: a meta-analysis of controlled trials,meta-analysis,Opioid antagonists are associated with a reduction in the symptoms of schizophrenia: a meta-analysis
zer1m4b6,10.1186/s12913-020-05903-1,bc190aebd0b4483225d4152abbc66f0595953a5f,document_parses/pdf_json/bc190aebd0b4483225d4152abbc66f0595953a5f.json,document_parses/pmc_json/PMC7677098.xml.json,Incident reports involving hospital administrative staff: analysis of data from the Japan Council for Quality Health care nationwide database,database,administrative staff: analysis of data from the Japan Council for Quality Health care nationwide database
41i9h3vq,10.1186/s12931-020-01574-y,389c02f9857ae25574c27ba639a3ab9ca1e594f9,document_parses/pdf_json/389c02f9857ae25574c27ba639a3ab9ca1e594f9.json,document_parses/pmc_json/PMC7677103.xml.json,The efficacy of mesenchymal stromal cell-derived therapies for acute respiratory distress syndrome—a meta-analysis of preclinical trials,meta-analysis,acute respiratory distress syndrome—a meta-analysis
4nmhla54,10.1093/nar/gkaa925,fbf6c5c60242ad4e92275e4969396045e48be008,document_parses/pdf_json/fbf6c5c60242ad4e92275e4969396045e48be008.json,document_parses/pmc_json/PMC7778973.xml.json,ThermoMutDB: a thermodynamic database for missense mutations,database,ThermoMutDB: a thermodynamic database
55by1rdf,10.1042/bsr20203624,f629def71e7146fe6e142d1f277d4cb58a436602,document_parses/pdf_json/f629def71e7146fe6e142d1f277d4cb58a436602.json,document_parses/pmc_json/PMC7786348.xml.json,Effects of physical activity on the progression of diabetic nephropathy: a meta-analysis,meta-analysis,Effects of physical activity on the progression of diabetic nephropathy: a meta-analysis
78lhhkc6,10.1016/j.asjsur.2021.02.015,228d33c3f4aa85fd8c4c809689ee64e9be44fef7,document_parses/pdf_json/228d33c3f4aa85fd8c4c809689ee64e9be44fef7.json,document_parses/pmc_json/PMC7979445.xml.json,Effect of perioperative mechanical ventilation strategies on postoperative pulmonary complications in patients undergoing thoracic surgery:a Meta-analysis,Meta-analysis,Effect of perioperative mechanical ventilation strategies on postoperative pulmonary complications in patients undergoing thoracic surgery:a Meta-analysis
kv5s7t8r,10.1161/circoutcomes.120.007187,3347778b7c4288bb26ec371847f9fd39aa021401,document_parses/pdf_json/3347778b7c4288bb26ec371847f9fd39aa021401.json,document_parses/pmc_json/PMC7982132.xml.json,Practical Application of Patient-Reported Health Status Measures for Transcatheter Valve Therapies: Insights From the Society of Thoracic Surgeons/American College of Cardiology Transcatheter Valve Therapies Registry,Registry,Valve Therapies: Insights From the Society of Thoracic Surgeons/American College of Cardiology Transcatheter Valve Therapies Registry
q7dwp3ow,10.3389/fpsyg.2021.582421,d1a7e07f8ad8a90aaee8a9489a0fc2b0ad3e81cd,document_parses/pdf_json/d1a7e07f8ad8a90aaee8a9489a0fc2b0ad3e81cd.json,document_parses/pmc_json/PMC8008126.xml.json,How I See Me—A Meta-Analysis Investigating the Association Between Identities and Pro-environmental Behaviour,Meta-Analysis,How I See Me—A Meta-Analysis
6qg2evgx,10.7150/thno.56471,f2e19ee7a584a63ee0b10683e67357580eb0455c,document_parses/pdf_json/f2e19ee7a584a63ee0b10683e67357580eb0455c.json,document_parses/pmc_json/PMC8039946.xml.json,Development of nucleic acid aptamer-based lateral flow assays: A robust platform for cost-effective point-of-care diagnosis,platform,Development of nucleic acid aptamer-based lateral flow assays: A robust platform
4f2o4kpz,10.1093/database/baab019,abdd26c877e409c5059dd09f65f611601837c36f,document_parses/pdf_json/abdd26c877e409c5059dd09f65f611601837c36f.json,document_parses/pmc_json/PMC8060004.xml.json,APICURON: a database to credit and acknowledge the work of biocurators,database,APICURON: a database
5m79ugfs,10.1186/s13019-021-01496-w,54dc37f156794149fe41c7150ced3ffd736075fa,document_parses/pdf_json/54dc37f156794149fe41c7150ced3ffd736075fa.json,document_parses/pmc_json/PMC8072735.xml.json,Risk factors of postoperative delirium after cardiac surgery: a meta-analysis,meta-analysis,Risk factors of postoperative delirium after cardiac surgery: a meta-analysis
84q3nh4y,10.1186/s12879-021-06064-0,875801c570b50fd4fbb7890aecc91f1fb098ffc2,document_parses/pdf_json/875801c570b50fd4fbb7890aecc91f1fb098ffc2.json,document_parses/pmc_json/PMC8072745.xml.json,"Diagnostic value of neutrophil CD64, procalcitonin, and interleukin-6 in sepsis: a meta-analysis",meta-analysis,"procalcitonin, and interleukin-6 in sepsis: a meta-analysis"
jpmwiqqz,10.1007/s00246-021-02644-8,63eee6239123658eadc2f76672e6138a11b32942,document_parses/pdf_json/63eee6239123658eadc2f76672e6138a11b32942.json,document_parses/pmc_json/PMC8162158.xml.json,Transfusion Strategies for Pediatric Cardiac Surgery: A Meta-Analysis and Trial Sequential Analysis,Meta-Analysis,Cardiac Surgery: A Meta-Analysis
yd44ojke,10.3390/jcm10112448,97732fd43ad7a033142ce40ce7f92683ecd2b642,document_parses/pdf_json/97732fd43ad7a033142ce40ce7f92683ecd2b642.json,document_parses/pmc_json/PMC8198834.xml.json,Repetitive Negative Thinking and Eating Disorders: A Meta-Analysis of the Role of Worry and Rumination,Meta-Analysis,Repetitive Negative Thinking and Eating Disorders: A Meta-Analysis
mxzp050s,10.1136/openhrt-2021-001687,92a57f5552b26301ca364147484724e0bedd46f6,document_parses/pdf_json/92a57f5552b26301ca364147484724e0bedd46f6.json,document_parses/pmc_json/PMC8191629.xml.json,Efficacy of interventions to increase physical activity for people with heart failure: a meta-analysis,meta-analysis,Efficacy of interventions to increase physical activity for people with heart failure: a meta-analysis
gt46n849,10.7759/cureus.15269,17f00fe4c631d04ee575a39419776acea706fd99,document_parses/pdf_json/17f00fe4c631d04ee575a39419776acea706fd99.json,document_parses/pmc_json/PMC8234363.xml.json,The Use of Vancomycin Versus Teicoplanin in Treating Febrile Neutropenia: A Meta-Analysis and Systematic Review,Meta-Analysis,The Use of Vancomycin Versus Teicoplanin in Treating Febrile Neutropenia: A Meta-Analysis
ifmz7lkl,10.1093/database/baab041,eae5f02086accfa27355ad46c2515cb76d719c57,document_parses/pdf_json/eae5f02086accfa27355ad46c2515cb76d719c57.json,document_parses/pmc_json/PMC8271126.xml.json,TIDB: a comprehensive database of trained immunity,database,TIDB: a comprehensive database
c0gpkv8p,10.1590/1518.8345.4281.3389,f11c5911b5841905fffc284f16b53808608a5199,document_parses/pdf_json/f11c5911b5841905fffc284f16b53808608a5199.json,document_parses/pmc_json/PMC8294794.xml.json,Effectiveness of health education in the self-care and adherence of patients with heart failure: a meta-analysis,meta-analysis,Effectiveness of health education in the self-care and adherence of patients with heart failure: a meta-analysis
q7rmmj04,10.1186/s13054-021-03692-5,,,document_parses/pmc_json/PMC8330173.xml.json,Correction to: Effects of early extubation followed by noninvasive ventilation versus standard extubation on the duration of invasive mechanical ventilation in hypoxemic non-hypercapnic patients: a systematic review and individual patient data meta-analysis of randomized controlled trials,meta-analysis,Correction to: Effects of early extubation followed by noninvasive ventilation versus standard extubation on the duration of invasive mechanical ventilation in hypoxemic non-hypercapnic patients: a systematic review and individual patient data meta-analysis
bqs95yqm,10.3389/fphar.2021.694741,94c99900d7c852deb9774d9eb8f8fc8a97bd7c06,document_parses/pdf_json/94c99900d7c852deb9774d9eb8f8fc8a97bd7c06.json,document_parses/pmc_json/PMC8353248.xml.json,Chinese Herbal Medicine for Irritable Bowel Syndrome: A Meta-Analysis and Trial Sequential Analysis of Randomized Controlled Trials,Meta-Analysis,Chinese Herbal Medicine for Irritable Bowel Syndrome: A Meta-Analysis
77zmc74i,10.1371/journal.pone.0256480,a266ebc2c525b4326a60fab4404f40584c3d963f,document_parses/pdf_json/a266ebc2c525b4326a60fab4404f40584c3d963f.json,document_parses/pmc_json/PMC8412363.xml.json,The prevalence and clinical features of pulmonary embolism in patients with AE-COPD: A meta-analysis and systematic review,meta-analysis,with AE-COPD: A meta-analysis
nspxfgl0,10.1186/s13019-021-01634-4,7ca4c8ea542cab0b48a22d446623ca60933b0b53,document_parses/pdf_json/7ca4c8ea542cab0b48a22d446623ca60933b0b53.json,document_parses/pmc_json/PMC8441241.xml.json,Liberal or conservative oxygen therapy for ventilated patients in the ICU: a meta-analysis of randomized controlled trials,meta-analysis,or conservative oxygen therapy for ventilated patients in the ICU: a meta-analysis
kda7al44,10.1161/strokeaha.120.033910,aba4812a3066fd659ae4c8602cc8c333204dcfec,document_parses/pdf_json/aba4812a3066fd659ae4c8602cc8c333204dcfec.json,document_parses/pmc_json/PMC8478106.xml.json,Association of Oral Anticoagulation With Stroke in Atrial Fibrillation or Heart Failure: A Comparative Meta-Analysis,Meta-Analysis,Association of Oral Anticoagulation With Stroke in Atrial Fibrillation or Heart Failure: A Comparative Meta-Analysis
24ci4glz,10.1245/s10434-021-10857-7,b87c94ef836ccf7c7c0cfd2f4c1cae6de963770f,document_parses/pdf_json/b87c94ef836ccf7c7c0cfd2f4c1cae6de963770f.json,document_parses/pmc_json/PMC8493945.xml.json,Comparison Between Wedge Resection and Lobectomy/Segmentectomy for Early-Stage Non-small Cell Lung Cancer: A Bayesian Meta-analysis and Systematic Review,Meta-analysis,Comparison Between Wedge Resection and Lobectomy/Segmentectomy for Early-Stage Non-small Cell Lung Cancer: A Bayesian Meta-analysis
s92dqw28,10.1093/database/baab065,feedc7b6118722a4f8f28db1cc84b5fb1a29b4a6,document_parses/pdf_json/feedc7b6118722a4f8f28db1cc84b5fb1a29b4a6.json,document_parses/pmc_json/PMC8516408.xml.json,HBFP: a new repository for human body fluid proteome,repository,HBFP: a new repository
owy8a5m8,10.1186/s40560-021-00578-0,9aa66cb51330c02eb7210cc61d9cfbbcbd795108,document_parses/pdf_json/9aa66cb51330c02eb7210cc61d9cfbbcbd795108.json,document_parses/pmc_json/PMC8517294.xml.json,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis of randomized control trials: author’s reply,meta-analysis,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis
9cw9fz3j,10.1186/s40560-021-00567-3,83862e8af048fd4aa2e0089c96d629147593b3e4,document_parses/pdf_json/83862e8af048fd4aa2e0089c96d629147593b3e4.json,document_parses/pmc_json/PMC8517300.xml.json,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis of randomized control trials,meta-analysis,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis
4ufrirlx,10.1097/md.0000000000027270,11ccd8a9e9bfefe6755a947434f740752f20dc4d,document_parses/pdf_json/11ccd8a9e9bfefe6755a947434f740752f20dc4d.json,document_parses/pmc_json/PMC8542155.xml.json,MRI versus CT for the detection of pulmonary nodules: A meta-analysis,meta-analysis,MRI versus CT for the detection of pulmonary nodules: A meta-analysis
2jbmncmk,10.1016/j.chest.2021.04.054,cdf0505d49efe8209b5ab004c8be4b40e3c05135,document_parses/pdf_json/cdf0505d49efe8209b5ab004c8be4b40e3c05135.json,document_parses/pmc_json/PMC8546241.xml.json,CT Findings and Patterns of e-Cigarette or Vaping Product Use-Associated Lung Injury: A Multicenter Cohort of 160 Cases,Multicenter Cohort,CT Findings and Patterns of e-Cigarette or Vaping Product Use-Associated Lung Injury: A Multicenter Cohort
0dag3gyw,10.1093/bioinformatics/btab570,ba07514dad1cccbb5265e036659ff3a779a4e4e4,document_parses/pdf_json/ba07514dad1cccbb5265e036659ff3a779a4e4e4.json,document_parses/pmc_json/PMC8570810.xml.json,NetControl4BioMed: a web-based platform for controllability analysis of protein–protein interaction networks,platform,NetControl4BioMed: a web-based platform
9da89nbg,10.1016/j.jtcme.2021.07.005,,,document_parses/pmc_json/PMC8572703.xml.json,"HerBChain, a blockchain-based informative platform for quality assurance and quality control of herbal products",platform,"HerBChain, a blockchain-based informative platform"
qclrbqzm,10.3390/vaccines9111245,5eb72e32647777d47158292d9a18f56d6435cff3,document_parses/pdf_json/5eb72e32647777d47158292d9a18f56d6435cff3.json,document_parses/pmc_json/PMC8618863.xml.json,"Potential Applications of Microparticulate-Based Bacterial Outer Membrane Vesicles (OMVs) Vaccine Platform for Sexually Transmitted Diseases (STDs): Gonorrhea, Chlamydia, and Syphilis",Platform,Bacterial Outer Membrane Vesicles (OMVs) Vaccine Platform
mnxchg8m,10.1177/10760296211063882,da7294e7ac566f6374b72cbe06357306c2076dd7,document_parses/pdf_json/da7294e7ac566f6374b72cbe06357306c2076dd7.json,document_parses/pmc_json/PMC8655473.xml.json,Medical Adjuvant Therapy in Reducing Thrombosis With Arteriovenous Grafts and Fistulae Use: A Meta-Analysis of Randomized Controlled Trials,Meta-Analysis,Medical Adjuvant Therapy in Reducing Thrombosis With Arteriovenous Grafts and Fistulae Use: A Meta-Analysis
cvxcg6fe,10.1016/j.mtbio.2021.100186,8c5b16990e135cea6c6e6a10d5db42bd4d69cbfc,document_parses/pdf_json/8c5b16990e135cea6c6e6a10d5db42bd4d69cbfc.json,,Smart/stimuli-responsive hydrogels: Cutting-edge platforms for tissue engineering and other biomedical applications,platforms,stimuli-responsive hydrogels: Cutting-edge platforms
yz244h21,10.3389/fphar.2021.659707,a3494a81320209fc95248591dc82cfbb6c48af2d,document_parses/pdf_json/a3494a81320209fc95248591dc82cfbb6c48af2d.json,document_parses/pmc_json/PMC8669995.xml.json,Efficacy and Safety of Traditional Chinese Medicine Injections for Heart Failure With Reduced Ejection Fraction: A Bayesian Network Meta-Analysis of Randomized Controlled Trials,Meta-Analysis,Efficacy and Safety of Traditional Chinese Medicine Injections for Heart Failure With Reduced Ejection Fraction: A Bayesian Network Meta-Analysis
rx4sc0t2,10.2196/33335,45ef032c9f887f6140a3030003467287d8ff6297,document_parses/pdf_json/45ef032c9f887f6140a3030003467287d8ff6297.json,document_parses/pmc_json/PMC8663581.xml.json,A Virtual Community for Disability Advocacy: Development of a Searchable Artificial Intelligence–Supported Platform,Platform,a Searchable Artificial Intelligence–Supported Platform
pv9jbm1s,10.1097/md.0000000000027750,69fe54efebd0858b41a71d0b4c5c9bec4c85da25,document_parses/pdf_json/69fe54efebd0858b41a71d0b4c5c9bec4c85da25.json,document_parses/pmc_json/PMC8718206.xml.json,Physicians’ religious/spiritual characteristics and their behavior regarding religiosity and spirituality in clinical practice: A meta-analysis of individual participant data,meta-analysis,religious/spiritual characteristics and their behavior regarding religiosity and spirituality in clinical practice: A meta-analysis
i5qpc7p4,10.1093/database/baab079,1a507c40035388a4b41e6916490afc33745b6137,document_parses/pdf_json/1a507c40035388a4b41e6916490afc33745b6137.json,document_parses/pmc_json/PMC8725190.xml.json,iCAV: an integrative database of cancer-associated viruses,database,iCAV: an integrative database
qnkqfou0,10.1093/nar/gkab1083,c93ca509387f79fb88bf19d74c8595a2c7bb2aee,document_parses/pdf_json/c93ca509387f79fb88bf19d74c8595a2c7bb2aee.json,document_parses/pmc_json/PMC8728126.xml.json,MODOMICS: a database of RNA modification pathways. 2021 update,database,MODOMICS: a database
ttnhuj8n,10.1093/nar/gkab986,538e504b9f723b59dce41f60ee2c931e43bdc123,document_parses/pdf_json/538e504b9f723b59dce41f60ee2c931e43bdc123.json,document_parses/pmc_json/PMC8728229.xml.json,RPS: a comprehensive database of RNAs involved in liquid–liquid phase separation,database,RPS: a comprehensive database
2213qf7h,10.1038/s41408-021-00598-x,26c87a4bc977ec1143f44da796a92aabc79aabfc,document_parses/pdf_json/26c87a4bc977ec1143f44da796a92aabc79aabfc.json,document_parses/pmc_json/PMC8728708.xml.json,Efficacy of front-line immunochemotherapy for follicular lymphoma: a network meta-analysis of randomized controlled trials,meta-analysis,Efficacy of front-line immunochemotherapy for follicular lymphoma: a network meta-analysis
w2t0b1ef,10.3390/cells11010091,5d22232f418643e4f181f82c3c5035a9626ea04b,document_parses/pdf_json/5d22232f418643e4f181f82c3c5035a9626ea04b.json,document_parses/pmc_json/PMC8750486.xml.json,Current Status and Future Perspectives on Machine Perfusion: A Treatment Platform to Restore and Regenerate Injured Lungs Using Cell and Cytokine Adsorption Therapy,Platform,Status and Future Perspectives on Machine Perfusion: A Treatment Platform
1w50a5sd,10.4081/ejtm.2021.10107,13e11cc598adc19a153271fb3e393e80ed98387e,document_parses/pdf_json/13e11cc598adc19a153271fb3e393e80ed98387e.json,document_parses/pmc_json/PMC8758963.xml.json,HIV infection and increased risk of COVID-19 mortality: A Meta-Analysis,Meta-Analysis,HIV infection and increased risk of COVID-19 mortality: A Meta-Analysis
1bql0ukh,10.1161/strokeaha.121.035187,f5a49dbb78f4c3e12410c849c7fb70df640db915; f910273d005d037f8b9ba6f739d324ab40e301a6,document_parses/pdf_json/f5a49dbb78f4c3e12410c849c7fb70df640db915.json; document_parses/pdf_json/f910273d005d037f8b9ba6f739d324ab40e301a6.json,document_parses/pmc_json/PMC8785514.xml.json,Sex Difference and Rupture Rate of Intracranial Aneurysms: An Individual Patient Data Meta-Analysis,Meta-Analysis,Difference and Rupture Rate of Intracranial Aneurysms: An Individual Patient Data Meta-Analysis
qi6xbphb,10.1097/md.0000000000028535,16f0d504967424bd7c5da2aa4405af2563b6bcf9,document_parses/pdf_json/16f0d504967424bd7c5da2aa4405af2563b6bcf9.json,document_parses/pmc_json/PMC8797486.xml.json,The application of ambroxol hydrochloride combined with fiberoptic bronchoscopy in elderly patients with severe pneumonia: A meta-analysis and systematic review,meta-analysis,The application of ambroxol hydrochloride combined with fiberoptic bronchoscopy in elderly patients with severe pneumonia: A meta-analysis
f0s6baik,10.3389/fmed.2021.814566,949b2c23c3b15c5489604d5035a264e8c5bc4962,document_parses/pdf_json/949b2c23c3b15c5489604d5035a264e8c5bc4962.json,document_parses/pmc_json/PMC8804204.xml.json,A Simple Weaning Model Based on Interpretable Machine Learning Algorithm for Patients With Sepsis: A Research of MIMIC-IV and eICU Databases,Databases,A Simple Weaning Model Based on Interpretable Machine Learning Algorithm for Patients With Sepsis: A Research of MIMIC-IV and eICU Databases
k3nz41kc,10.1093/nargab/lqac005,1be57466c27416dbb0f955e67264fc0ed4145d87,document_parses/pdf_json/1be57466c27416dbb0f955e67264fc0ed4145d87.json,document_parses/pmc_json/PMC8826781.xml.json,HKG: an open genetic variant database of 205 Hong Kong cantonese exomes,database,HKG: an open genetic variant database
a92wzmd1,10.1016/j.heliyon.2022.e08911,e4b1a5277e11bca8dc08232f565a841e1fdb1fea,document_parses/pdf_json/e4b1a5277e11bca8dc08232f565a841e1fdb1fea.json,document_parses/pmc_json/PMC8841366.xml.json,Drivers of digital transformation adoption: A weight and meta-analysis,meta-analysis,Drivers of digital transformation adoption: A weight and meta-analysis
